## Dateiname: 2-grams_default91.alph.tab
## Alphabet: default91.alph
## Modulus: 91
## Text: gutenberg.txt
## Anzahl der 2-Gramme: 1772106
IE 0.00209 73_69
aj 0.00209 97_106
OU 0.00209 79_85
LL 0.00209 76_76
EC 0.00209 69_67
g: 0.00209 103_58
e' 0.00209 101_39
AL 0.00209 65_76
22 0.00209 50_50
-F 0.00209 45_70
yn 0.00203 121_110
wt 0.00203 119_116
4  0.00203 52_32
=d 0.00203 61_100
1  0.00203 49_32
m! 0.00203 109_33
r' 0.00203 114_39
HI 0.00203 72_73
o. 0.00203 111_46
t) 0.00203 116_41
SO 0.00203 83_79
(d 0.00198 40_100
Hj 0.00198 72_106
1, 0.00198 49_44
EA 0.00198 69_65
Eu 0.00198 69_117
uv 0.00198 117_118
AG 0.00198 65_71
GE 0.00198 71_69
l' 0.00192 108_39
IL 0.00192 73_76
3, 0.00192 51_44
UN 0.00192 85_78
d: 0.00192 100_58
BU 0.00192 66_85
., 0.00192 46_44
=e 0.00192 61_101
Gn 0.00192 71_110
k! 0.00192 107_33
MA 0.00192 77_65
i! 0.00192 105_33
DA 0.00192 68_65
U  0.00186 85_32
8  0.00186 56_32
db 0.00186 100_98
=v 0.00186 61_118
LA 0.00186 76_65
ED 0.00186 69_68
OW 0.00181 79_87
=w 0.00181 61_119
hc 0.00181 104_99
37 0.00175 51_55
wr 0.00175 119_114
wd 0.00175 119_100
41 0.00175 52_49
G  0.00175 71_32
G. 0.00175 71_46
f; 0.00175 102_59
-K 0.00175 45_75
TY 0.00175 84_89
YO 0.00175 89_79
Os 0.00169 79_115
/w 0.00169 47_119
CE 0.00169 67_69
.. 0.00169 46_46
40 0.00169 52_48
EM 0.00169 69_77
AC 0.00169 65_67
GU 0.00169 71_85
h' 0.00169 104_39
=G 0.00169 61_71
l- 0.00164 108_45
FO 0.00164 70_79
Av 0.00164 65_118
NS 0.00164 78_83
fh 0.00164 102_104
oa 0.00164 111_97
rj 0.00164 114_106
8, 0.00164 56_44
·) 0.00164 183_41
·= 0.00164 183_61
=i 0.00164 61_105
LE 0.00164 76_69
25 0.00164 50_53
0, 0.00164 48_44
SC 0.00164 83_67
IC 0.00158 73_67
32 0.00158 51_50
35 0.00158 51_53
gw 0.00158 103_119
RG 0.00158 82_71
BO 0.00158 66_79
RB 0.00158 82_66
mr 0.00158 109_114
m: 0.00158 109_58
.g 0.00158 46_103
·o 0.00158 183_111
(a 0.00158 40_97
64 0.00158 54_52
60 0.00158 54_48
Eh 0.00158 69_104
u- 0.00158 117_45
ME 0.00158 77_69
